,question,ground_truth,contexts
0,What was the purpose of the border security bill that Kamala Harris supported?,"The purpose of the border security bill that Kamala Harris supported was to put 1,500 more border agents on the border to help with the enforcement efforts and to stem the flow of fentanyl coming into the United States. It aimed to provide more resources to prosecute transnational criminal organizations involved in trafficking guns, drugs, and human beings.","[""VICE PRESIDENT KAMALA HARRIS: So I'm the only person on this stage who has prosecuted transnational criminal organizations for the trafficking of guns, drugs, and human beings. And let me say that the United States Congress, including some of the most conservative members of the United States Senate, came up with a border security bill which I supported. And that bill would have put 1,500 more border agents on the border to help those folks who are working there right now over time trying to do their job. It would have allowed us to stem the flow of fentanyl coming into the United States. I know there are so many families watching tonight who have been personally affected by the surge of fentanyl in our country. That bill would have put more resources to allow us to prosecute transnational criminal organizations for trafficking in guns, drugs and human beings. But you know what happened to that bill? Donald Trump got on the phone, called up some folks in Congress, and said kill the""]"
1,What impact does former President Donald Trump believe the influx of criminals has on the fabric of our country?,"Former President Donald Trump believes that the influx of criminals has a destructive impact on the fabric of our country, stating that it is one of the greatest mistakes in history and that it is destroying the fabric of the country.","[""FORMER PRESIDENT DONALD TRUMP: Yeah. It is much higher because of them. They allowed criminals. Many, many, millions of criminals. They allowed terrorists. They allowed common street criminals. They allowed people to come in, drug dealers, to come into our country, and they're now in the United States. And told by their countries like Venezuela don't ever come back or we're going to kill you. Do you know that crime in Venezuela and crime in countries all over the world is way down? You know why? Because they've taken their criminals off the street and they've given them to her to put into our country. And this will be one of the greatest mistakes in history for them to allow -- and I think they probably did it because they think they're going to get votes. But it's not worth it. Because they're destroying the fabric of our country by what they've done. There's never been anything done like this at all. They've destroyed the fabric of our country. Millions of people let in. And all""]"
2,What was the impact of former President Trump's actions on border security legislation?,The answer to given question is not present in context,"['DAVID MUIR: Vice President Harris, thank you. President Trump, on that point I want to get your response.\n\nFORMER PRESIDENT DONALD TRUMP: Well, I would like to respond.\n\nDAVID MUIR: Let me just ask, though, why did you try to kill that bill and successfully so? That would have put thousands of additional agents and officers on the border.']"
3,What criticisms does Donald Trump have regarding the current energy policy?,"Donald Trump criticizes the current energy policy by stating that it opposes fracking and the use of fossil fuels, which he believes are necessary for making the country strong. He argues that such policies reflect a bad vision and that the country cannot sacrifice its strength for these beliefs.","[""FORMER PRESIDENT DONALD TRUMP: So, she just started by saying she's going to do this, she's going to do that, she's going to do all these wonderful things. Why hasn't she done it? She's been there for 3 1/2 years. They've had 3 1/2 years to fix the border. They've had 3 1/2 years to create jobs and all the things we talked about. Why hasn't she done it? She should leave right now, go down to that beautiful white house, go to the capitol, get everyone together and do the things you want to do. But you haven't done it. And you won't do it. Because you believe in things that the American people don't believe in. You believe in things like we're not going to frack. We're not going to take fossil fuel. We're not going to do, things that are going to make this country strong, whether you like it or not. Germany tried that and within one year they were back to building normal energy plants. We're not ready for it. We can't sacrifice our country for the sake of bad vision. But I just ask one""]"
4,What factors contributed to the record high of illegal border crossings during the Biden administration?,The answer to given question is not present in context,"[""LINSEY DAVIS: President Trump, thank you.\n\nDAVID MUIR: We're going to turn now to immigration and border security. We know it's an issue that's important to Republicans, Democrats, voters across the board in this country. Vice President Harris, you were tasked by President Biden with getting to the root causes of migration from Central America. We know that illegal border crossings reached a record high in the Biden administration. This past June, President Biden imposed tough new asylum restrictions. We know the numbers since then have dropped significantly. But my question to you tonight is why did the administration wait until six months before the election to act and would you have done anything differently from President Biden on this?""]"
5,What does the speaker believe is the true measure of a leader in relation to lifting people up?,The speaker believes that the true measure of a leader is the ability to lift people up rather than beating them down. Strength is defined by uplifting others instead of engaging in name-calling or negative behavior.,"[""and Medicare is based on long-standing work that I have done. Protecting seniors from scams. My values have not changed. And what is important is that there is a president who actually brings values and a perspective that is about lifting people up and not beating people down and name-calling. The true measure of the leader is the leader who actually understands that strength is not in beating people down, it's in lifting people up. I intend to be that president.""]"
6,What is Donald Trump's stance on abortion as expressed in his statement?,"Donald Trump's stance on abortion, as expressed in his statement, is that he opposes abortion in the ninth month and believes that execution after birth is not acceptable. He criticizes the Democrats and their vice presidential pick for supporting these views.","[""FORMER PRESIDENT DONALD TRUMP: And that's why I did that, because that predominates. Because they're radical. The Democrats are radical in that. And her vice presidential pick, which I think was a horrible pick, by the way for our country, because he is really out of it. But her vice presidential pick says abortion in the ninth month is absolutely fine. He also says execution after birth, it's execution, no longer abortion, because the baby is born, is okay. And that's not okay with me. Hence the vote. But what I did is something for 52 years they've been trying to get Roe v. Wade into the states.""]"
7,What does it mean to 'run on a problem' in the context of political leadership?,The answer to given question is not present in context,"[""criminal organizations for trafficking in guns, drugs and human beings. But you know what happened to that bill? Donald Trump got on the phone, called up some folks in Congress, and said kill the bill. And you know why? Because he preferred to run on a problem instead of fixing a problem. And understand, this comes at a time where the people of our country actually need a leader who engages in solutions, who actually addresses the problems at hand. But what we have in the former president is someone who would prefer to run on a problem instead of fixing a problem. And I'll tell you something, he's going to talk about immigration a lot tonight even when it's not the subject that is being raised. And I'm going to actually do something really unusual and I'm going to invite you to attend one of Donald Trump's rallies because it's a really interesting thing to watch. You will see during the course of his rallies he talks about fictional characters like Hannibal Lecter. He will talk about""]"
8,What criticisms did Kamala Harris make regarding the Trump administration's trade policies?,"Kamala Harris criticized the Trump administration for resulting in one of the highest trade deficits in American history and for inviting trade wars. She specifically mentioned that Trump sold American chips to China, which she viewed as selling out the U.S. instead of focusing on winning the competition for the 21st century through relationships with allies and investing in American technology.","[""VICE PRESIDENT KAMALA HARRIS: Well, let's be clear that the Trump administration resulted in a trade deficit, one of the highest we've ever seen in the history of America. He invited trade wars, you wanna talk about his deal with China what he ended up doing is under Donald Trump's presidency he ended up selling American chips to China to help them improve and modernize their military basically sold us out when a policy about China should be in making sure the United States of America wins the competition for the 21st century. Which means focusing on the details of what that requires, focusing on relationships with our allies, focusing on investing in American based technology so that we win the race on A.I. and quantum computing, focusing on what we need to do to support America's workforce, so that we don't end up having the on the short end of the stick in terms of workers' rights. But what Donald Trump did let's talk about this with COVID, is he actually thanked President XI for""]"
9,What impact did President Trump claim to have on Roe v. Wade?,President Trump claimed to have killed Roe v. Wade.,"['DAVID MUIR: President Trump, thank you. Linsey?\n\nLINSEY DAVIS: I want to turn to the issue of abortion. President Trump, you\'ve often touted that you were able to kill Roe v. Wade. Last year, you said that you were proud to be the most pro-life president in American history. Then last month you said that your administration would be great for women and their reproductive rights. In your home state of Florida, you surprised many with regard to your six-week abortion ban because you initially had said that it was too short and you said, ""I\'m going to be voting that we need more than six weeks."" But then the very next day, you reversed course and said you would vote to support the six-week ban. Vice President Harris says that women shouldn\'t trust you on the issue of abortion because you\'ve changed your position so many times. Therefore, why should they trust you?']"
