,question,contexts,ground_truth,evolution_type,metadata,episode_done
0,What measures were proposed to address fentanyl trafficking in the United States?,"[""VICE PRESIDENT KAMALA HARRIS: So I'm the only person on this stage who has prosecuted transnational criminal organizations for the trafficking of guns, drugs, and human beings. And let me say that the United States Congress, including some of the most conservative members of the United States Senate, came up with a border security bill which I supported. And that bill would have put 1,500 more border agents on the border to help those folks who are working there right now over time trying to do their job. It would have allowed us to stem the flow of fentanyl coming into the United States. I know there are so many families watching tonight who have been personally affected by the surge of fentanyl in our country. That bill would have put more resources to allow us to prosecute transnational criminal organizations for trafficking in guns, drugs and human beings. But you know what happened to that bill? Donald Trump got on the phone, called up some folks in Congress, and said kill the""]","The proposed measures to address fentanyl trafficking in the United States included a border security bill that would have put 1,500 more border agents on the border and provided more resources to prosecute transnational criminal organizations involved in trafficking guns, drugs, and human beings.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
1,What criticisms does Donald Trump raise regarding job creation in relation to the current administration's actions?,"[""FORMER PRESIDENT DONALD TRUMP: So, she just started by saying she's going to do this, she's going to do that, she's going to do all these wonderful things. Why hasn't she done it? She's been there for 3 1/2 years. They've had 3 1/2 years to fix the border. They've had 3 1/2 years to create jobs and all the things we talked about. Why hasn't she done it? She should leave right now, go down to that beautiful white house, go to the capitol, get everyone together and do the things you want to do. But you haven't done it. And you won't do it. Because you believe in things that the American people don't believe in. You believe in things like we're not going to frack. We're not going to take fossil fuel. We're not going to do, things that are going to make this country strong, whether you like it or not. Germany tried that and within one year they were back to building normal energy plants. We're not ready for it. We can't sacrifice our country for the sake of bad vision. But I just ask one""]","Donald Trump criticizes the current administration for not having created jobs despite having 3 1/2 years to do so. He questions why they haven't fixed the border or accomplished the things they promised, implying that their inaction is a failure to meet the needs of the American people.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
2,What does former President Donald Trump believe is in the U.S. best interests regarding the war in Ukraine?,"[""DAVID MUIR: And just to clarify here.\n\nFORMER PRESIDENT DONALD TRUMP: They threw him out of a campaign like a dog. We don't even know, is he our president? But we have a president...\n\nDAVID MUIR: Mr. President,\n\nFORMER PRESIDENT DONALD TRUMP: ...that doesn't know he's alive.\n\nDAVID MUIR: Your time is up. Just to clarify the question, do you believe it's in the U.S. best interests for Ukraine to win this war? Yes or no?\n\nFORMER PRESIDENT DONALD TRUMP: I think it's in the U.S. best interest to get this war finished and just get it done. All right. Negotiate a deal. Because we have to stop all of these human lives from being destroyed.\n\nDAVID MUIR: I want to take this to Vice President Harris. I want to get your thoughts on support for Ukraine in this moment. But also as commander in chief if elected how would you deal with Vladimir Putin and would it be any different from what we're seeing from President Biden?""]",Former President Donald Trump believes it is in the U.S. best interest to get the war in Ukraine finished and negotiate a deal to stop the destruction of human lives.,simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
3,What changes have occurred in Vice President Harris's policy positions since her last run for president?,"[""DAVID MUIR: Vice President Harris, thank you. Linsey?\n\nLINDSEY DAVIS: Vice President Harris, in your last run for president...\n\nFORMER PRESIDENT DONALD TRUMP: This is the one that weaponized. Not me. She weaponized. I probably took a bullet to the head because of the things that they say about me. They talk about democracy. I'm a threat to democracy. They're the threat to democracy – With the fake Russia Russia Russia investigation that went nowhere.\n\nDAVID MUIR: We have a lot to get to. Linsey?\n\nLINSEY DAVIS: Vice President Harris, in your last run for president you said you wanted to ban fracking. Now you don't. You wanted mandatory government buyback programs for assault weapons. Now your campaign says you don't. You supported decriminalizing border crossings. Now you're taking a harder line. I know you say that your values have not changed. So then why have so many of your policy positions changed?""]","Vice President Harris's policy positions have changed regarding fracking, mandatory government buyback programs for assault weapons, and her stance on border crossings. Initially, she wanted to ban fracking, supported mandatory buyback programs for assault weapons, and advocated for decriminalizing border crossings. However, her current campaign indicates that she no longer supports these positions.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
4,What concerns does Kamala Harris express regarding Donald Trump's approach to national security?,"[""VICE PRESIDENT KAMALA HARRIS: That's absolutely not true. I have my entire career and life supported Israel and the Israeli people. He knows that. He's trying to again divide and distract from the reality, which is it is very well known that Donald Trump is weak and wrong on national security and foreign policy. It is well known that he admires dictators, wants to be a dictator on day one according to himself. It is well known that he said of Putin that he can do whatever the hell he wants and go into Ukraine. It is well known when that he said when Russia went into Ukraine it was brilliant. It is well known he exchanged love letters with Kim Jong un. And it is absolutely well known that these dictators and autocrats are rooting for you to be president again because they're so clear, they can manipulate you with flattery and favors. And that is why so many military leaders who you have worked with have told me you are a disgrace. That is why we understand that we have to have a""]","Kamala Harris expresses concerns that Donald Trump is weak and wrong on national security and foreign policy. She highlights that he admires dictators, has made favorable comments about Putin's actions in Ukraine, and has exchanged love letters with Kim Jong-un, suggesting that these dictators and autocrats would be able to manipulate him.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
5,What reasons does Vice President Harris give for the changes in her policy positions during her last run for president?,"[""DAVID MUIR: Vice President Harris, thank you. Linsey?\n\nLINDSEY DAVIS: Vice President Harris, in your last run for president...\n\nFORMER PRESIDENT DONALD TRUMP: This is the one that weaponized. Not me. She weaponized. I probably took a bullet to the head because of the things that they say about me. They talk about democracy. I'm a threat to democracy. They're the threat to democracy – With the fake Russia Russia Russia investigation that went nowhere.\n\nDAVID MUIR: We have a lot to get to. Linsey?\n\nLINSEY DAVIS: Vice President Harris, in your last run for president you said you wanted to ban fracking. Now you don't. You wanted mandatory government buyback programs for assault weapons. Now your campaign says you don't. You supported decriminalizing border crossings. Now you're taking a harder line. I know you say that your values have not changed. So then why have so many of your policy positions changed?""]",The answer to given question is not present in context,simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
6,What factors contributed to the record high of illegal border crossings during the Biden administration?,"[""LINSEY DAVIS: President Trump, thank you.\n\nDAVID MUIR: We're going to turn now to immigration and border security. We know it's an issue that's important to Republicans, Democrats, voters across the board in this country. Vice President Harris, you were tasked by President Biden with getting to the root causes of migration from Central America. We know that illegal border crossings reached a record high in the Biden administration. This past June, President Biden imposed tough new asylum restrictions. We know the numbers since then have dropped significantly. But my question to you tonight is why did the administration wait until six months before the election to act and would you have done anything differently from President Biden on this?""]",The answer to given question is not present in context,simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
7,What argument does Vice President Harris make regarding the impact of tariffs on American families?,"[""DAVID MUIR: Mr. President, I do want to drill down on something you both brought up. The vice president brought up your tariffs you responded and let's drill down on this because your plan is what she calls is a essentially a national sales tax. Your proposal calls for tariffs as you pointed out here, on foreign imports across the board. You recently said that you might double your plan, imposing tariffs up to 20% on good coming into this country. As you know many economists say that with tariffs at that level costs are then passed onto the consumer. Vice President Harris has argued it'll mean higher prices on gas, food, clothing medication arguing it costs the typical family nearly four thousand dollars a year. Do you believe Americans can afford higher prices because of tariffs.""]","Vice President Harris argues that tariffs will lead to higher prices on gas, food, clothing, and medication, costing the typical family nearly four thousand dollars a year.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
8,What impact is the inflation crisis having on different social classes in the country?,"[""We have inflation like very few people have ever seen before. Probably the worst in our nation's history. We were at 21%. But that's being generous because many things are 50, 60, 70, and 80% higher than they were just a few years ago. This has been a disaster for people, for the middle class, but for every class. On top of that, we have millions of people pouring into our country from prisons and jails, from mental institutions and insane asylums. And they're coming in and they're taking jobs that are occupied right now by African Americans and Hispanics and also unions. Unions are going to be affected very soon. And you see what's happening. You see what's happening with towns throughout the United States. You look at Springfield, Ohio. You look at Aurora in Colorado. They are taking over the towns. They're taking over buildings. They're going in violently. These are the people that she and Biden let into our country. And they're destroying our country. They're dangerous. They're at""]","The inflation crisis is having a disastrous impact on people across all social classes, including the middle class, as many things are significantly higher in price, with increases of 50, 60, 70, and 80%.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
9,What are the concerns expressed by former President Donald Trump regarding government insurance?,"[""LINSEY DAVIS: I want to move to an issue that's important --\n\nFORMER PRESIDENT DONALD TRUMP: She made a mistake. Number one, John McCain fought Obamacare for ten years. But it wasn't only him. It was, All of the Democrats that kept it going. And you know what? We could do much better than Obamacare. Much less money. But she won't improve private insurance for people. Private, medical insurance. That's another thing she doesn't want\n\nLINSEY DAVIS: President Trump.\n\nFORMER PRESIDENT DONALD TRUMP: People are paying privately for insurance that have worked hard and made money and they want to have private. She wants everybody to be on government insurance where you wait six months for an operation that you need immediately.""]","Former President Donald Trump expresses concerns that government insurance would lead to long wait times for necessary operations, stating that people would have to wait six months for an operation they need immediately. He contrasts this with private insurance, which he believes allows people who have worked hard and made money to receive timely medical care.",simple,"[{'document_number': 0, 'source': './data/2024_first_presidential_candidate_debate_KamalaHarris_DonaldTrump_10sep2024.txt'}]",True
